testset,accuracy,avg precision
ADM,80.7,96.41212559843308
DALLE2,98.55000000000001,99.8075129216737
Glide,97.49166666666666,99.45519952483303
Midjourney,94.10833333333333,98.83440553223099
VQDM,95.325,99.22749519058856
biggan,87.8,94.30843238314097
cyclegan,98.10749432248296,99.5146549560326
gaugan,84.0,90.35548193476193
progan,99.925,99.99050977773824
sd_xl,99.6,99.91160141548845
stable_diffusion_v_1_4,99.20833333333333,99.84090559130497
stable_diffusion_v_1_5,99.08125,99.84323236563975
stargan,99.77488744372187,100.0
stylegan,97.99699549323987,99.94456949457214
stylegan2,99.18002003004507,99.98440954976753
whichfaceisreal,54.7,61.93478028963134
wukong,98.21666666666667,99.77989881521113
mean,93.16268513467587,96.42030678476756
